id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
845614934470662156,Rental unit in Dallas · ★New · 1 bedroom · 1 bed · 1 bath,504842657,Ade,,District 6,32.77825592388856,-96.82753915704978,Entire home/apt,83,2,1,2023-07-09,1,1,365,1,
845645546751878377,Home in Dallas · ★4.57 · 3 bedrooms · 3 beds · 2 baths,361650012,Phong,,District 6,32.78686105517279,-96.8515603516358,Entire home/apt,120,1,7,2023-06-29,2.08,1,158,7,
845750569844493966,Home in Dallas · ★5.0 · 4 bedrooms · 4 beds · 3 baths,488235936,Olusegun,,District 6,32.785244193654506,-96.84725673034426,Entire home/apt,228,2,6,2023-06-26,1.50,3,157,6,
845791738735742894,Home in Dallas · ★4.93 · 1 bedroom · 2 beds · 1 bath,505102519,Laurie,,District 9,32.8343264535503,-96.74211555641858,Entire home/apt,105,1,29,2023-07-15,8.06,1,18,29,
845860425697870648,Guesthouse in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,474412838,Maria,,District 2,32.83647806683686,-96.83135812987818,Entire home/apt,75,3,3,2023-04-21,0.80,1,196,3,
845862115641658405,Rental unit in Dallas · ★4.20 · 1 bedroom · 2 beds · 1 bath,372592509,Victor From CozySuites,,District 2,32.785464826135865,-96.78234194697244,Entire home/apt,133,2,5,2023-05-22,1.55,62,28,5,
846357428277736278,Rental unit in Dallas · 2 bedrooms · 2 beds · 2 baths,263890039,Darale,,District 6,32.776322830982515,-96.84267167189222,Entire home/apt,213,1,0,,,1,365,0,
846400366136405214,Rental unit in Dallas · 2 bedrooms · 3 beds · 2 baths,50902036,Geoffrey,,District 6,32.768527823004284,-96.834825830987,Entire home/apt,111,4,0,,,1,316,0,
846435923112569652,Home in Dallas · 2 bedrooms · 3 beds · 2 baths,48773086,Victor,,District 2,32.80157696192541,-96.77408617808416,Entire home/apt,176,2,2,2023-04-10,0.53,1,365,2,
846475676892624431,Home in Dallas · 3 bedrooms · 4 beds · 3.5 baths,38200512,Alejandro,,District 14,32.793725700073225,-96.78893913292939,Entire home/apt,175,30,1,2023-04-12,0.31,1,364,1,
846487317719330271,Rental unit in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,67925020,Nikkie,,District 2,32.79721995478338,-96.77386891037833,Entire home/apt,101,1,10,2023-06-18,3.19,1,81,10,
846521543792542490,Rental unit in Dallas · 1 bedroom · 2 beds · 1 private bath,505267170,Yampier,,District 2,32.7850357,-96.77562759999999,Private room,350,1,0,,,1,365,0,
846530050243884733,Home in Dallas · ★5.0 · 4 bedrooms · 7 beds · 3.5 baths,1372934,Ahmed,,District 14,32.78748780988323,-96.78918347185571,Entire home/apt,836,1,5,2023-07-09,4.17,1,112,5,
846581304583301179,Home in Dallas · ★4.84 · 3 bedrooms · 4 beds · 1 bath,147220470,Marisol,,District 1,32.721328883123554,-96.84201760740311,Entire home/apt,98,1,31,2023-07-09,7.69,1,140,31,
846586161229802934,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,505282058,Bolt,,District 10,32.88078,-96.71728,Entire home/apt,125,30,0,,,1,207,0,
846640404172463534,Home in Dallas · ★4.92 · 4 bedrooms · 6 beds · 2 baths,505293625,Cameron,,District 6,32.79280749729675,-96.88458827739537,Entire home/apt,211,2,12,2023-07-02,3.40,1,361,12,
846650915443004936,Home in Dallas · ★4.77 · 3 bedrooms · 4 beds · 2 baths,328830040,Tieumy,,District 9,32.83984547450347,-96.68866923588722,Entire home/apt,164,1,13,2023-05-28,3.45,2,156,13,
846973538265313008,Home in Dallas · 4 bedrooms · 4 beds · 4.5 baths,505351276,Cameron,,District 13,32.832685917825486,-96.8213056453809,Entire home/apt,1057,2,1,2023-05-15,0.48,1,170,1,
847090621551964540,Rental unit in Dallas · ★4.63 · 1 bedroom · 2 beds · 1 bath,10901678,Vera,,District 11,32.89276338873562,-96.77063143823861,Entire home/apt,80,1,19,2023-07-14,4.96,25,341,19,
847226991194737934,Home in Dallas · 3 bedrooms · 3 beds · 2 baths,18833587,Francisco,,District 9,32.844886518066964,-96.69570196419954,Entire home/apt,189,1,0,,,1,43,0,
847232179727949012,Home in Dallas · 3 bedrooms · 4 beds · 3.5 baths,65844560,Lauvelle Suites,,District 2,32.82278,-96.83843,Entire home/apt,250,30,1,2023-04-02,0.28,4,179,1,
847235540280761625,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,47932798,Corey,,District 14,32.799082348741216,-96.80670691682944,Entire home/apt,118,1,0,,,1,196,0,
847317999930204045,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,373278846,Talore,,District 11,32.88717,-96.77285,Entire home/apt,89,4,0,,,10,339,0,
847384491089993437,Home in Dallas · 3 bedrooms · 4 beds · 2 baths,182657271,Leah,,District 8,32.6610316,-96.8141701,Entire home/apt,172,1,0,,,1,195,0,
847824284666890796,Rental unit in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,387806382,Tracer,,District 9,32.8561587,-96.73229959999999,Entire home/apt,100,1,10,2023-06-11,2.50,1,81,10,
847895142919130704,Rental unit in Dallas · ★4.80 · 1 bedroom · 2 beds · 1 bath,58895419,Lindsay,,District 2,32.795249744716955,-96.77589550159495,Entire home/apt,104,2,15,2023-07-09,4.59,2,353,15,
